country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_co2,share_global_co2,share_global_cumulative_co2,share_population,fair_share_ratio,trade_gap_pct,times_world_avg
Suriname,2023,SUR,628892.0,,2.869,4.561,,,125.772,0.008,0.007,0.00777202917801015,0.9006656871291095,,0.9687765505522514
Sweden,2023,SWE,10551493.0,,36.709,3.479,61.722,5.85,5096.457,0.096,0.281,0.13039840142277187,2.154934392860802,68.13860361219318,0.7389549702633814
Switzerland,2023,CHE,8870564.0,,31.977,3.605,118.33,13.34,3125.99,0.084,0.173,0.10962499480579563,1.5781072583535836,270.0472214404103,0.7657179269328802
Syria,2023,SYR,23594623.0,,31.674,1.342,,,2024.037,0.083,0.112,0.29158917334001605,0.3841020526142757,,0.28504672897196265
Taiwan,2023,TWN,23317145.0,,267.127,11.456,294.802,12.643,9829.566,0.701,0.543,0.28816001998418406,1.8843696638756589,10.360240634604517,2.433305012744265
Tajikistan,2023,TJK,10389807.0,,10.264,0.988,13.021,1.253,507.058,0.027,0.028,0.12840023908380788,0.2180681297775791,26.86087295401405,0.2098555649957519
Tanzania,2023,TZA,66617607.0,,20.31,0.305,25.788,0.387,324.833,0.053,0.018,0.8232796495633801,0.02186377376089177,26.971935007385532,0.06478334749362787
Thailand,2023,THA,71702436.0,,264.734,3.692,305.567,4.262,8040.558,0.695,0.444,0.8861194366066117,0.5010611229794202,15.424161611277748,0.7841971112999151
Togo,2023,TGO,8223853.0,,2.671,0.325,8.647,1.051,73.877,0.007,0.004,0.10163275327348147,0.03935739091153501,223.736428304006,0.06903143585386576
Tonga,2023,TON,104613.0,,0.146,1.394,,,4.77,0.0,0.0,0.0012928377024976876,0.0,,0.2960917587085811
Trinidad and Tobago,2023,TTO,1502938.0,,35.536,23.644,22.352,14.872,1676.392,0.093,0.093,0.018573742373476237,5.007068480329861,-37.10040522287258,5.0220900594732365
Tunisia,2023,TUN,12200434.0,,31.738,2.601,30.179,2.474,1033.525,0.083,0.057,0.15077649108652533,0.37804301976552634,-4.912092759468148,0.5524638912489379
Turkey,2023,TUR,87270502.0,,486.945,5.58,483.031,5.535,12374.517,1.278,0.683,1.0785140976886223,0.6332786947001864,-0.803786875314458,1.185216652506372
Turkmenistan,2023,TKM,7364437.0,,95.421,12.957,,,2660.627,0.25,0.147,0.09101184184823075,1.6151744324121449,,2.752124044180119
Turks and Caicos Islands,2023,TCA,46221.0,,0.365,7.893,,,7.227,0.001,0.0,0.0005712124826469523,0.0,,1.6765080713678844
Tuvalu,2023,TUV,9837.0,,0.011,1.112,,,0.286,0.0,0.0,0.00012156849033551999,0.0,,0.23619371282922685
Uganda,2023,UGA,48656606.0,,6.236,0.128,8.802,0.181,125.05,0.016,0.007,0.6013124058422491,0.011641203361163333,41.14817190506735,0.027187765505522515
Ukraine,2023,UKR,37732833.0,,139.325,3.692,166.306,4.407,31093.998,0.366,1.717,0.46631326053596517,3.6820741448067262,19.365512291405008,0.7841971112999151
United Arab Emirates,2023,ARE,10642089.0,,210.425,19.773,248.068,23.31,5602.252,0.552,0.309,0.13151801298630109,2.349488050980404,17.889034097659497,4.199872557349193
United Kingdom,2023,GBR,68682965.0,,307.826,4.482,487.1,7.092,79766.547,0.808,4.406,0.8488039409187107,5.1908335807573245,58.23874526518228,0.9519966015293119
United States,2023,USA,343477330.0,,4918.407,14.319,5431.659,15.814,429962.469,12.911,23.748,4.244792159456664,5.594620209400254,10.435329975742135,3.0414188615123194
Uruguay,2023,URY,3388083.0,,7.627,2.251,10.782,3.182,468.783,0.02,0.026,0.04187090936682318,0.6209561815870508,41.36619902976269,0.4781223449447748
Uzbekistan,2023,UZB,35652311.0,,122.872,3.446,,,6611.421,0.323,0.365,0.44060156808401474,0.8284128483410234,,0.7319456244689889
Vanuatu,2023,VUT,320422.0,,0.188,0.588,,,5.35,0.0,0.0,0.003959867724945409,0.0,,0.12489379779099404
Venezuela,2023,VEN,28300861.0,,119.588,4.226,100.516,3.552,7770.432,0.314,0.429,0.34975022333693145,1.2265896384767234,-15.948088436966913,0.8976210705182668
Vietnam,2023,VNM,100352189.0,,347.399,3.462,247.788,2.469,5297.944,0.912,0.293,1.2401813681604936,0.23625576671466528,-28.673369813960313,0.7353440951571792
Wallis and Futuna,2023,WLF,11394.0,,0.029,2.56,,,0.835,0.0,0.0,0.000140810346536842,0.0,,0.5437553101104503
Yemen,2023,YEM,39390800.0,,10.141,0.257,,,697.908,0.027,0.039,0.4868028961175563,0.0801145603508941,,0.054587935429056926
Zambia,2023,ZMB,20723967.0,,11.831,0.571,12.705,0.613,288.795,0.031,0.016,0.2561127764514725,0.0624724788106447,7.387372157890293,0.12128292268479182
Zimbabwe,2023,ZWE,16340829.0,,13.443,0.823,15.32,0.938,819.213,0.035,0.045,0.20194468967783724,0.22283329198598184,13.962657144982524,0.17480883602378927
